Run,Generation,File,Seed,Key Length,Pop. Size,Crossover Rate,Mutation Rate,Crossover,Mutation,Selection,Best Solution,Best Fitness,Average Fitness
1,1,attachments/Data2.txt,3,40,100,1.0,0.0,ux,rx,tour2,zopytghrsggnbvreppclvmtg-spajalegidhndpz,0.6667535444947209,0.7116592488687778
1,2,attachments/Data2.txt,3,40,100,1.0,0.0,ux,rx,tour2,j-dkvlypabatlpuyimiidqjxb-oiuoudrcauubbe,0.6590509803921568,0.703030588235294
1,3,attachments/Data2.txt,3,40,100,1.0,0.0,ux,rx,tour2,ajbabiawlqblqazmzdxynkiojjrtymkjlhlcoejl,0.6536558069381598,0.7009850998674526
1,4,attachments/Data2.txt,3,40,100,1.0,0.0,ux,rx,tour2,ltnmyiyvsbbtqcryimtxdmwmbboijmuecrahuafa,0.6619514328808447,0.6972134268476622
1,5,attachments/Data2.txt,3,40,100,1.0,0.0,ux,rx,tour2,iksyegslotlnxmuymuefdltepsvaaei-fiz-idpf,0.6463788838612368,0.6899067812361931
1,6,attachments/Data2.txt,3,40,100,1.0,0.0,ux,rx,tour2,jsbcplywytallaredqoydbwobhqtukurcihmibue,0.6365876319758673,0.6885403559577675
1,7,attachments/Data2.txt,3,40,100,1.0,0.0,ux,rx,tour2,ikbiptyprbpmrtieirjddj-pj-ricaevwnzunyja,0.620750527903469,0.6799229170437401
1,8,attachments/Data2.txt,3,40,100,1.0,0.0,ux,rx,tour2,ikaipthprcatrtieirjdnbi-jhribowzwpznoyjf,0.6310313725490196,0.6780186606334837
1,9,attachments/Data2.txt,3,40,100,1.0,0.0,ux,rx,tour2,isnipthpdvplitjeietvdkwmjboijoeewnzuayfa,0.6305544494720965,0.6719128144796381
1,10,attachments/Data2.txt,3,40,100,1.0,0.0,ux,rx,tour2,itnpvlyasvatpprmdaexdjwepbrajooecnhmnbva,0.6210150829562594,0.665776012066365
1,11,attachments/Data2.txt,3,40,100,1.0,0.0,ux,rx,tour2,v-bmyryjdvpliaiesqeeijibb-vihkudwplgayat,0.607163197586727,0.6610387903469075
